Crop,Disease,Symptoms,Recommended Pesticide,Dosage & Application,Weather Conditions,Recommended_Fertilizer
Potato,Mosaic Virus,Small brown or black circular spots,Copper Oxychloride,Sprinkle powder directly on infected areas,Cold temperature,10-10-10 NPK
Tomato,Root Rot,Curling and mosaic pattern on leaves,Copper Oxychloride,Apply when humidity is above 60%,High humidity,Urea
Sugarcane,Mosaic Virus,Irregularly shaped brown blotches,Neem Oil,Dilute with 3 liters of water for every hectare,Foggy conditions,10-10-10 NPK
Wheat,Leaf Spot,Drooping leaves with yellow patches,Dithane M-45,Use every 10 days for effective results,Cold temperature,General NPK 20-20-20
Rice,Powdery Mildew,Curling and mosaic pattern on leaves,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Drought conditions,Superphosphate
Maize,Powdery Mildew,Black lesions on stem and roots,Dithane M-45,Sprinkle powder directly on infected areas,Drought conditions,Superphosphate
Potato,Blight,Drooping leaves with yellow patches,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Low rainfall,Superphosphate
Cotton,Leaf Spot,Yellowing of leaves with brown spots,Copper Oxychloride,Mix with organic compost and apply near roots,Hot summer season,General NPK 20-20-20
Wheat,Root Rot,Drooping leaves with yellow patches,Copper Oxychloride,Use every 10 days for effective results,Warm and dry climate,Urea
Wheat,Mosaic Virus,Irregularly shaped brown blotches,Dithane M-45,Apply 1.5ml per liter of water weekly,Heavy rainfall,10-10-10 NPK
Rice,Stem Rot,White powdery coating on leaves,Copper Oxychloride,Sprinkle powder directly on infected areas,Foggy conditions,Urea
Maize,Root Rot,Small brown or black circular spots,Trichoderma,Apply when humidity is above 60%,Warm and dry climate,Urea
Rice,Leaf Spot,Small brown or black circular spots,Neem Oil,Mix 2g per liter of water and spray on affected leaves,High humidity,General NPK 20-20-20
Tomato,Powdery Mildew,Small brown or black circular spots,Trichoderma,Mix with organic compost and apply near roots,Warm and dry climate,Superphosphate
Soybean,Powdery Mildew,Yellowing of leaves with brown spots,Neem Oil,Mix with organic compost and apply near roots,High humidity,Superphosphate
Rice,Bacterial Wilt,Curling and mosaic pattern on leaves,Propiconazole,Use 5ml per liter in early morning,Drought conditions,Urea
Tomato,Mosaic Virus,Yellowing of leaves with brown spots,Copper Oxychloride,Use every 10 days for effective results,High humidity,10-10-10 NPK
Barley,Rust,Wilting and stunted growth,Propiconazole,Apply 1.5ml per liter of water weekly,Heavy rainfall,General NPK 20-20-20
Potato,Mosaic Virus,Curling and mosaic pattern on leaves,Dithane M-45,Apply 1.5ml per liter of water weekly,Foggy conditions,10-10-10 NPK
Wheat,Powdery Mildew,Small brown or black circular spots,Neem Oil,Apply when humidity is above 60%,Warm and dry climate,Superphosphate
Tomato,Powdery Mildew,Irregularly shaped brown blotches,Propiconazole,Sprinkle powder directly on infected areas,Heavy rainfall,Superphosphate
Sugarcane,Bacterial Wilt,Wilting and stunted growth,Chlorothalonil,Dilute with 3 liters of water for every hectare,Warm and dry climate,Urea
Maize,Bacterial Wilt,Stem lesions with hollow decay,Neem Oil,Apply when humidity is above 60%,High humidity,Urea
Cotton,Mosaic Virus,Wilting and stunted growth,Mancozeb,Spray in low sunlight conditions for best absorption,Hot summer season,10-10-10 NPK
Potato,Rust,Wilting and stunted growth,Chlorothalonil,Use every 10 days for effective results,Drought conditions,General NPK 20-20-20
Maize,Rust,Irregularly shaped brown blotches,Dithane M-45,Use every 10 days for effective results,Drought conditions,General NPK 20-20-20
Wheat,Stem Rot,Black lesions on stem and roots,Trichoderma,Use every 10 days for effective results,Low rainfall,Urea
Cotton,Bacterial Wilt,Drooping leaves with yellow patches,Chlorothalonil,Use every 10 days for effective results,Cold temperature,Urea
Barley,Mosaic Virus,Curling and mosaic pattern on leaves,Carbendazim,Sprinkle powder directly on infected areas,Heavy rainfall,10-10-10 NPK
Groundnut,Bacterial Wilt,Irregularly shaped brown blotches,Sulfur Dust,Dilute with 3 liters of water for every hectare,High humidity,Urea
Sugarcane,Rust,White powdery coating on leaves,Dithane M-45,Use 5ml per liter in early morning,Warm and dry climate,General NPK 20-20-20
Tomato,Stem Rot,Wilting and stunted growth,Sulfur Dust,Use 5ml per liter in early morning,Low rainfall,Urea
Sugarcane,Root Rot,Wilting and stunted growth,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Urea
Cotton,Rust,Yellowing of leaves with brown spots,Sulfur Dust,Spray in low sunlight conditions for best absorption,Drought conditions,General NPK 20-20-20
Maize,Bacterial Wilt,Irregularly shaped brown blotches,Propiconazole,Spray in low sunlight conditions for best absorption,Foggy conditions,Urea
Soybean,Mosaic Virus,Drooping leaves with yellow patches,Trichoderma,Mix with organic compost and apply near roots,Cold temperature,10-10-10 NPK
Rice,Rust,Small brown or black circular spots,Mancozeb,Use 5ml per liter in early morning,Hot summer season,General NPK 20-20-20
Rice,Bacterial Wilt,Black lesions on stem and roots,Dithane M-45,Sprinkle powder directly on infected areas,Low rainfall,Urea
Sugarcane,Leaf Spot,Mold growth on affected areas,Copper Oxychloride,Mix with organic compost and apply near roots,High humidity,General NPK 20-20-20
Maize,Rust,Stem lesions with hollow decay,Neem Oil,Spray in low sunlight conditions for best absorption,Hot summer season,General NPK 20-20-20
Maize,Root Rot,White powdery coating on leaves,Copper Oxychloride,Apply when humidity is above 60%,Hot summer season,Urea
Soybean,Stem Rot,Drooping leaves with yellow patches,Propiconazole,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Urea
Tomato,Root Rot,Black lesions on stem and roots,Neem Oil,Apply when humidity is above 60%,Drought conditions,Urea
Soybean,Powdery Mildew,Stem lesions with hollow decay,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Superphosphate
Tomato,Powdery Mildew,Curling and mosaic pattern on leaves,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Superphosphate
Soybean,Mosaic Virus,Drooping leaves with yellow patches,Neem Oil,Use every 10 days for effective results,Hot summer season,10-10-10 NPK
Rice,Root Rot,Small brown or black circular spots,Sulfur Dust,Sprinkle powder directly on infected areas,Drought conditions,Urea
Maize,Blight,Stem lesions with hollow decay,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Foggy conditions,Superphosphate
Sugarcane,Bacterial Wilt,Stem lesions with hollow decay,Mancozeb,Apply 1.5ml per liter of water weekly,Foggy conditions,Urea
Maize,Root Rot,Black lesions on stem and roots,Chlorothalonil,Use 5ml per liter in early morning,Heavy rainfall,Urea
Wheat,Mosaic Virus,Stem lesions with hollow decay,Dithane M-45,Use every 10 days for effective results,Cold temperature,10-10-10 NPK
Soybean,Leaf Spot,White powdery coating on leaves,Carbendazim,Apply 1.5ml per liter of water weekly,Low rainfall,General NPK 20-20-20
Wheat,Root Rot,Irregularly shaped brown blotches,Propiconazole,Spray in low sunlight conditions for best absorption,Heavy rainfall,Urea
Tomato,Stem Rot,White powdery coating on leaves,Trichoderma,Use 5ml per liter in early morning,Heavy rainfall,Urea
Tomato,Rust,Yellowing of leaves with brown spots,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,General NPK 20-20-20
Sugarcane,Leaf Spot,Curling and mosaic pattern on leaves,Propiconazole,Dilute with 3 liters of water for every hectare,Cold temperature,General NPK 20-20-20
Maize,Root Rot,Black lesions on stem and roots,Propiconazole,Use 5ml per liter in early morning,Foggy conditions,Urea
Barley,Mosaic Virus,Stem lesions with hollow decay,Dithane M-45,Mix with organic compost and apply near roots,Hot summer season,10-10-10 NPK
Cotton,Stem Rot,Irregularly shaped brown blotches,Copper Oxychloride,Apply 1.5ml per liter of water weekly,Low rainfall,Urea
Tomato,Leaf Spot,Black lesions on stem and roots,Sulfur Dust,Apply 1.5ml per liter of water weekly,Hot summer season,General NPK 20-20-20
Sugarcane,Bacterial Wilt,Curling and mosaic pattern on leaves,Sulfur Dust,Apply when humidity is above 60%,Cold temperature,Urea
Potato,Stem Rot,Wilting and stunted growth,Propiconazole,Apply when humidity is above 60%,Hot summer season,Urea
Potato,Bacterial Wilt,Irregularly shaped brown blotches,Dithane M-45,Apply when humidity is above 60%,Cold temperature,Urea
Groundnut,Blight,Small brown or black circular spots,Mancozeb,Sprinkle powder directly on infected areas,Drought conditions,Superphosphate
Wheat,Blight,Yellowing of leaves with brown spots,Mancozeb,Use every 10 days for effective results,Warm and dry climate,Superphosphate
Tomato,Powdery Mildew,Drooping leaves with yellow patches,Carbendazim,Dilute with 3 liters of water for every hectare,Foggy conditions,Superphosphate
Potato,Powdery Mildew,Black lesions on stem and roots,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Superphosphate
Potato,Root Rot,Irregularly shaped brown blotches,Trichoderma,Dilute with 3 liters of water for every hectare,Hot summer season,Urea
Potato,Stem Rot,Stem lesions with hollow decay,Mancozeb,Apply when humidity is above 60%,Cold temperature,Urea
Sugarcane,Root Rot,Mold growth on affected areas,Carbendazim,Use every 10 days for effective results,High humidity,Urea
Wheat,Blight,Curling and mosaic pattern on leaves,Sulfur Dust,Apply when humidity is above 60%,Warm and dry climate,Superphosphate
Maize,Root Rot,Black lesions on stem and roots,Carbendazim,Apply when humidity is above 60%,Hot summer season,Urea
Maize,Powdery Mildew,Stem lesions with hollow decay,Dithane M-45,Apply when humidity is above 60%,Low rainfall,Superphosphate
Potato,Bacterial Wilt,Drooping leaves with yellow patches,Copper Oxychloride,Sprinkle powder directly on infected areas,Hot summer season,Urea
Soybean,Blight,Yellowing of leaves with brown spots,Propiconazole,Use 5ml per liter in early morning,Cold temperature,Superphosphate
Cotton,Powdery Mildew,Black lesions on stem and roots,Trichoderma,Spray in low sunlight conditions for best absorption,Foggy conditions,Superphosphate
Rice,Rust,White powdery coating on leaves,Chlorothalonil,Dilute with 3 liters of water for every hectare,Low rainfall,General NPK 20-20-20
Rice,Leaf Spot,Black lesions on stem and roots,Propiconazole,Use 5ml per liter in early morning,Cold temperature,General NPK 20-20-20
Cotton,Blight,Stem lesions with hollow decay,Mancozeb,Spray in low sunlight conditions for best absorption,High humidity,Superphosphate
Cotton,Bacterial Wilt,Yellowing of leaves with brown spots,Neem Oil,Mix with organic compost and apply near roots,Cold temperature,Urea
Potato,Root Rot,Yellowing of leaves with brown spots,Mancozeb,Use 5ml per liter in early morning,Drought conditions,Urea
Wheat,Rust,Yellowing of leaves with brown spots,Carbendazim,Mix with organic compost and apply near roots,Low rainfall,General NPK 20-20-20
Barley,Leaf Spot,Black lesions on stem and roots,Mancozeb,Spray in low sunlight conditions for best absorption,Low rainfall,General NPK 20-20-20
Cotton,Leaf Spot,Black lesions on stem and roots,Copper Oxychloride,Use 5ml per liter in early morning,Foggy conditions,General NPK 20-20-20
Wheat,Rust,Wilting and stunted growth,Propiconazole,Sprinkle powder directly on infected areas,High humidity,General NPK 20-20-20
Rice,Leaf Spot,Irregularly shaped brown blotches,Dithane M-45,Use every 10 days for effective results,Warm and dry climate,General NPK 20-20-20
Tomato,Powdery Mildew,White powdery coating on leaves,Carbendazim,Sprinkle powder directly on infected areas,High humidity,Superphosphate
Groundnut,Rust,Yellowing of leaves with brown spots,Trichoderma,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,General NPK 20-20-20
Wheat,Powdery Mildew,Wilting and stunted growth,Carbendazim,Apply 1.5ml per liter of water weekly,Low rainfall,Superphosphate
Soybean,Stem Rot,Small brown or black circular spots,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Urea
Groundnut,Stem Rot,Wilting and stunted growth,Carbendazim,Use every 10 days for effective results,Warm and dry climate,Urea
Sugarcane,Root Rot,Small brown or black circular spots,Mancozeb,Use 5ml per liter in early morning,Drought conditions,Urea
Groundnut,Blight,Black lesions on stem and roots,Sulfur Dust,Spray in low sunlight conditions for best absorption,Cold temperature,Superphosphate
Barley,Root Rot,Irregularly shaped brown blotches,Carbendazim,Apply when humidity is above 60%,High humidity,Urea
Soybean,Mosaic Virus,Stem lesions with hollow decay,Sulfur Dust,Spray in low sunlight conditions for best absorption,Drought conditions,10-10-10 NPK
Sugarcane,Stem Rot,Mold growth on affected areas,Chlorothalonil,Spray in low sunlight conditions for best absorption,Cold temperature,Urea
Tomato,Mosaic Virus,Stem lesions with hollow decay,Mancozeb,Apply 1.5ml per liter of water weekly,Foggy conditions,10-10-10 NPK
Barley,Stem Rot,Irregularly shaped brown blotches,Mancozeb,Apply when humidity is above 60%,Foggy conditions,Urea
Sugarcane,Root Rot,Drooping leaves with yellow patches,Chlorothalonil,Mix with organic compost and apply near roots,Low rainfall,Urea
Barley,Powdery Mildew,White powdery coating on leaves,Trichoderma,Dilute with 3 liters of water for every hectare,Drought conditions,Superphosphate
Tomato,Mosaic Virus,Curling and mosaic pattern on leaves,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Drought conditions,10-10-10 NPK
Maize,Root Rot,Black lesions on stem and roots,Mancozeb,Dilute with 3 liters of water for every hectare,Heavy rainfall,Urea
Wheat,Leaf Spot,Stem lesions with hollow decay,Mancozeb,Dilute with 3 liters of water for every hectare,Foggy conditions,General NPK 20-20-20
Tomato,Root Rot,White powdery coating on leaves,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Low rainfall,Urea
Maize,Powdery Mildew,Small brown or black circular spots,Trichoderma,Dilute with 3 liters of water for every hectare,Hot summer season,Superphosphate
Barley,Blight,Stem lesions with hollow decay,Chlorothalonil,Spray in low sunlight conditions for best absorption,Hot summer season,Superphosphate
Rice,Blight,Curling and mosaic pattern on leaves,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Hot summer season,Superphosphate
Rice,Stem Rot,Curling and mosaic pattern on leaves,Neem Oil,Use every 10 days for effective results,High humidity,Urea
Rice,Stem Rot,Yellowing of leaves with brown spots,Neem Oil,Mix 2g per liter of water and spray on affected leaves,High humidity,Urea
Potato,Blight,Curling and mosaic pattern on leaves,Propiconazole,Apply when humidity is above 60%,Cold temperature,Superphosphate
Tomato,Powdery Mildew,White powdery coating on leaves,Trichoderma,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Superphosphate
Wheat,Powdery Mildew,Irregularly shaped brown blotches,Neem Oil,Spray in low sunlight conditions for best absorption,High humidity,Superphosphate
Wheat,Root Rot,Wilting and stunted growth,Carbendazim,Sprinkle powder directly on infected areas,Cold temperature,Urea
Sugarcane,Leaf Spot,Stem lesions with hollow decay,Neem Oil,Spray in low sunlight conditions for best absorption,High humidity,General NPK 20-20-20
Cotton,Mosaic Virus,Irregularly shaped brown blotches,Neem Oil,Spray in low sunlight conditions for best absorption,Warm and dry climate,10-10-10 NPK
Sugarcane,Bacterial Wilt,Irregularly shaped brown blotches,Copper Oxychloride,Apply 1.5ml per liter of water weekly,Heavy rainfall,Urea
Rice,Leaf Spot,Mold growth on affected areas,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,Hot summer season,General NPK 20-20-20
Cotton,Root Rot,White powdery coating on leaves,Dithane M-45,Dilute with 3 liters of water for every hectare,Warm and dry climate,Urea
Potato,Rust,Wilting and stunted growth,Copper Oxychloride,Use every 10 days for effective results,High humidity,General NPK 20-20-20
Groundnut,Root Rot,Stem lesions with hollow decay,Copper Oxychloride,Apply when humidity is above 60%,Cold temperature,Urea
Soybean,Powdery Mildew,Small brown or black circular spots,Propiconazole,Apply when humidity is above 60%,Warm and dry climate,Superphosphate
Rice,Root Rot,Yellowing of leaves with brown spots,Copper Oxychloride,Apply 1.5ml per liter of water weekly,Heavy rainfall,Urea
Groundnut,Mosaic Virus,Black lesions on stem and roots,Dithane M-45,Use every 10 days for effective results,Hot summer season,10-10-10 NPK
Maize,Leaf Spot,Mold growth on affected areas,Propiconazole,Sprinkle powder directly on infected areas,Heavy rainfall,General NPK 20-20-20
Potato,Root Rot,Mold growth on affected areas,Sulfur Dust,Sprinkle powder directly on infected areas,Low rainfall,Urea
Tomato,Bacterial Wilt,Curling and mosaic pattern on leaves,Propiconazole,Use every 10 days for effective results,Heavy rainfall,Urea
Tomato,Blight,Yellowing of leaves with brown spots,Carbendazim,Dilute with 3 liters of water for every hectare,Hot summer season,Superphosphate
Tomato,Stem Rot,Yellowing of leaves with brown spots,Propiconazole,Mix with organic compost and apply near roots,Drought conditions,Urea
Maize,Stem Rot,Yellowing of leaves with brown spots,Propiconazole,Spray in low sunlight conditions for best absorption,Heavy rainfall,Urea
Cotton,Leaf Spot,Black lesions on stem and roots,Mancozeb,Apply 1.5ml per liter of water weekly,Low rainfall,General NPK 20-20-20
Barley,Powdery Mildew,White powdery coating on leaves,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Superphosphate
Tomato,Stem Rot,Drooping leaves with yellow patches,Propiconazole,Sprinkle powder directly on infected areas,High humidity,Urea
Wheat,Rust,Stem lesions with hollow decay,Dithane M-45,Apply when humidity is above 60%,High humidity,General NPK 20-20-20
Maize,Powdery Mildew,White powdery coating on leaves,Carbendazim,Apply when humidity is above 60%,High humidity,Superphosphate
Barley,Root Rot,Wilting and stunted growth,Neem Oil,Mix with organic compost and apply near roots,Low rainfall,Urea
Wheat,Blight,Small brown or black circular spots,Propiconazole,Apply when humidity is above 60%,Hot summer season,Superphosphate
Potato,Stem Rot,White powdery coating on leaves,Chlorothalonil,Mix with organic compost and apply near roots,Hot summer season,Urea
Wheat,Root Rot,Black lesions on stem and roots,Trichoderma,Use 5ml per liter in early morning,Foggy conditions,Urea
Wheat,Stem Rot,Black lesions on stem and roots,Mancozeb,Apply when humidity is above 60%,Low rainfall,Urea
Soybean,Bacterial Wilt,Stem lesions with hollow decay,Propiconazole,Spray in low sunlight conditions for best absorption,Heavy rainfall,Urea
Cotton,Blight,Irregularly shaped brown blotches,Sulfur Dust,Dilute with 3 liters of water for every hectare,Hot summer season,Superphosphate
Barley,Bacterial Wilt,Black lesions on stem and roots,Neem Oil,Use 5ml per liter in early morning,Warm and dry climate,Urea
Tomato,Blight,Small brown or black circular spots,Propiconazole,Apply when humidity is above 60%,Heavy rainfall,Superphosphate
Soybean,Powdery Mildew,Stem lesions with hollow decay,Trichoderma,Apply 1.5ml per liter of water weekly,Low rainfall,Superphosphate
Potato,Leaf Spot,Stem lesions with hollow decay,Dithane M-45,Mix with organic compost and apply near roots,Warm and dry climate,General NPK 20-20-20
Cotton,Mosaic Virus,Wilting and stunted growth,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Cold temperature,10-10-10 NPK
Sugarcane,Powdery Mildew,Irregularly shaped brown blotches,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Superphosphate
Cotton,Powdery Mildew,Wilting and stunted growth,Copper Oxychloride,Apply when humidity is above 60%,Drought conditions,Superphosphate
Tomato,Powdery Mildew,Wilting and stunted growth,Carbendazim,Spray in low sunlight conditions for best absorption,Cold temperature,Superphosphate
Groundnut,Root Rot,Drooping leaves with yellow patches,Copper Oxychloride,Apply when humidity is above 60%,Foggy conditions,Urea
Sugarcane,Stem Rot,Small brown or black circular spots,Dithane M-45,Sprinkle powder directly on infected areas,Drought conditions,Urea
Rice,Rust,Yellowing of leaves with brown spots,Chlorothalonil,Sprinkle powder directly on infected areas,Hot summer season,General NPK 20-20-20
Sugarcane,Powdery Mildew,Yellowing of leaves with brown spots,Mancozeb,Mix with organic compost and apply near roots,Heavy rainfall,Superphosphate
Cotton,Blight,Mold growth on affected areas,Neem Oil,Sprinkle powder directly on infected areas,Cold temperature,Superphosphate
Groundnut,Rust,Stem lesions with hollow decay,Chlorothalonil,Apply 1.5ml per liter of water weekly,Low rainfall,General NPK 20-20-20
Soybean,Stem Rot,Irregularly shaped brown blotches,Mancozeb,Spray in low sunlight conditions for best absorption,Warm and dry climate,Urea
Barley,Stem Rot,Yellowing of leaves with brown spots,Chlorothalonil,Mix with organic compost and apply near roots,Foggy conditions,Urea
Rice,Root Rot,Stem lesions with hollow decay,Chlorothalonil,Dilute with 3 liters of water for every hectare,Low rainfall,Urea
Rice,Bacterial Wilt,Drooping leaves with yellow patches,Neem Oil,Sprinkle powder directly on infected areas,Low rainfall,Urea
Tomato,Rust,Mold growth on affected areas,Neem Oil,Use 5ml per liter in early morning,Heavy rainfall,General NPK 20-20-20
Maize,Rust,Stem lesions with hollow decay,Chlorothalonil,Apply 1.5ml per liter of water weekly,Heavy rainfall,General NPK 20-20-20
Potato,Blight,Irregularly shaped brown blotches,Chlorothalonil,Apply when humidity is above 60%,Low rainfall,Superphosphate
Maize,Stem Rot,Small brown or black circular spots,Mancozeb,Spray in low sunlight conditions for best absorption,Drought conditions,Urea
Rice,Rust,Black lesions on stem and roots,Dithane M-45,Dilute with 3 liters of water for every hectare,High humidity,General NPK 20-20-20
Maize,Powdery Mildew,Irregularly shaped brown blotches,Trichoderma,Dilute with 3 liters of water for every hectare,Foggy conditions,Superphosphate
Maize,Powdery Mildew,Yellowing of leaves with brown spots,Propiconazole,Apply 1.5ml per liter of water weekly,Warm and dry climate,Superphosphate
Barley,Stem Rot,Irregularly shaped brown blotches,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Urea
Soybean,Blight,Mold growth on affected areas,Sulfur Dust,Use 5ml per liter in early morning,Foggy conditions,Superphosphate
Sugarcane,Rust,Irregularly shaped brown blotches,Dithane M-45,Apply 1.5ml per liter of water weekly,Foggy conditions,General NPK 20-20-20
Tomato,Root Rot,Black lesions on stem and roots,Trichoderma,Apply when humidity is above 60%,Drought conditions,Urea
Potato,Stem Rot,Yellowing of leaves with brown spots,Chlorothalonil,Sprinkle powder directly on infected areas,High humidity,Urea
Potato,Root Rot,Curling and mosaic pattern on leaves,Copper Oxychloride,Use 5ml per liter in early morning,Warm and dry climate,Urea
Sugarcane,Mosaic Virus,Irregularly shaped brown blotches,Trichoderma,Apply 1.5ml per liter of water weekly,Heavy rainfall,10-10-10 NPK
Tomato,Bacterial Wilt,Wilting and stunted growth,Copper Oxychloride,Use 5ml per liter in early morning,Heavy rainfall,Urea
Wheat,Rust,Stem lesions with hollow decay,Sulfur Dust,Dilute with 3 liters of water for every hectare,Foggy conditions,General NPK 20-20-20
Wheat,Root Rot,Wilting and stunted growth,Sulfur Dust,Mix with organic compost and apply near roots,High humidity,Urea
Barley,Stem Rot,Stem lesions with hollow decay,Sulfur Dust,Use 5ml per liter in early morning,Low rainfall,Urea
Cotton,Leaf Spot,Mold growth on affected areas,Dithane M-45,Sprinkle powder directly on infected areas,Drought conditions,General NPK 20-20-20
Barley,Powdery Mildew,Drooping leaves with yellow patches,Neem Oil,Use 5ml per liter in early morning,Heavy rainfall,Superphosphate
Maize,Root Rot,Small brown or black circular spots,Neem Oil,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Urea
Wheat,Bacterial Wilt,Irregularly shaped brown blotches,Chlorothalonil,Mix with organic compost and apply near roots,Foggy conditions,Urea
Sugarcane,Bacterial Wilt,Wilting and stunted growth,Carbendazim,Apply when humidity is above 60%,Drought conditions,Urea
Potato,Powdery Mildew,Yellowing of leaves with brown spots,Dithane M-45,Use 5ml per liter in early morning,Foggy conditions,Superphosphate
Barley,Stem Rot,Stem lesions with hollow decay,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Low rainfall,Urea
Rice,Stem Rot,White powdery coating on leaves,Neem Oil,Use 5ml per liter in early morning,Low rainfall,Urea
Potato,Root Rot,Black lesions on stem and roots,Mancozeb,Mix 2g per liter of water and spray on affected leaves,High humidity,Urea
Wheat,Blight,Drooping leaves with yellow patches,Trichoderma,Spray in low sunlight conditions for best absorption,Warm and dry climate,Superphosphate
Tomato,Mosaic Virus,Mold growth on affected areas,Mancozeb,Spray in low sunlight conditions for best absorption,Drought conditions,10-10-10 NPK
Maize,Powdery Mildew,Stem lesions with hollow decay,Propiconazole,Sprinkle powder directly on infected areas,Cold temperature,Superphosphate
Soybean,Mosaic Virus,Irregularly shaped brown blotches,Trichoderma,Mix 2g per liter of water and spray on affected leaves,High humidity,10-10-10 NPK
Potato,Mosaic Virus,White powdery coating on leaves,Dithane M-45,Spray in low sunlight conditions for best absorption,High humidity,10-10-10 NPK
Maize,Mosaic Virus,Wilting and stunted growth,Copper Oxychloride,Use every 10 days for effective results,Drought conditions,10-10-10 NPK
Tomato,Blight,Curling and mosaic pattern on leaves,Propiconazole,Apply 1.5ml per liter of water weekly,High humidity,Superphosphate
Cotton,Blight,Yellowing of leaves with brown spots,Chlorothalonil,Sprinkle powder directly on infected areas,Drought conditions,Superphosphate
Soybean,Root Rot,White powdery coating on leaves,Trichoderma,Mix with organic compost and apply near roots,Heavy rainfall,Urea
Cotton,Leaf Spot,Yellowing of leaves with brown spots,Dithane M-45,Use every 10 days for effective results,Cold temperature,General NPK 20-20-20
Maize,Leaf Spot,Irregularly shaped brown blotches,Sulfur Dust,Dilute with 3 liters of water for every hectare,Drought conditions,General NPK 20-20-20
Rice,Mosaic Virus,Stem lesions with hollow decay,Mancozeb,Mix with organic compost and apply near roots,Hot summer season,10-10-10 NPK
Groundnut,Bacterial Wilt,Black lesions on stem and roots,Propiconazole,Apply 1.5ml per liter of water weekly,Warm and dry climate,Urea
Groundnut,Leaf Spot,Drooping leaves with yellow patches,Sulfur Dust,Sprinkle powder directly on infected areas,High humidity,General NPK 20-20-20
Cotton,Rust,Drooping leaves with yellow patches,Neem Oil,Mix with organic compost and apply near roots,Foggy conditions,General NPK 20-20-20
Potato,Blight,Curling and mosaic pattern on leaves,Mancozeb,Use every 10 days for effective results,Foggy conditions,Superphosphate
Wheat,Root Rot,Yellowing of leaves with brown spots,Carbendazim,Dilute with 3 liters of water for every hectare,High humidity,Urea
Tomato,Powdery Mildew,Irregularly shaped brown blotches,Carbendazim,Apply when humidity is above 60%,Warm and dry climate,Superphosphate
Maize,Bacterial Wilt,Mold growth on affected areas,Propiconazole,Dilute with 3 liters of water for every hectare,High humidity,Urea
Sugarcane,Root Rot,Drooping leaves with yellow patches,Copper Oxychloride,Use every 10 days for effective results,Warm and dry climate,Urea
Potato,Stem Rot,Small brown or black circular spots,Propiconazole,Use 5ml per liter in early morning,High humidity,Urea
Tomato,Leaf Spot,Curling and mosaic pattern on leaves,Mancozeb,Use every 10 days for effective results,Cold temperature,General NPK 20-20-20
Soybean,Root Rot,Small brown or black circular spots,Carbendazim,Spray in low sunlight conditions for best absorption,Foggy conditions,Urea
Tomato,Mosaic Virus,Mold growth on affected areas,Dithane M-45,Apply when humidity is above 60%,Low rainfall,10-10-10 NPK
Wheat,Rust,Wilting and stunted growth,Mancozeb,Mix with organic compost and apply near roots,Foggy conditions,General NPK 20-20-20
Groundnut,Blight,Irregularly shaped brown blotches,Copper Oxychloride,Apply when humidity is above 60%,Drought conditions,Superphosphate
Groundnut,Bacterial Wilt,Wilting and stunted growth,Mancozeb,Mix with organic compost and apply near roots,Low rainfall,Urea
Soybean,Rust,Curling and mosaic pattern on leaves,Chlorothalonil,Use every 10 days for effective results,Low rainfall,General NPK 20-20-20
Tomato,Leaf Spot,Stem lesions with hollow decay,Neem Oil,Spray in low sunlight conditions for best absorption,Cold temperature,General NPK 20-20-20
Potato,Root Rot,Stem lesions with hollow decay,Dithane M-45,Use 5ml per liter in early morning,High humidity,Urea
Rice,Rust,Yellowing of leaves with brown spots,Sulfur Dust,Use 5ml per liter in early morning,Warm and dry climate,General NPK 20-20-20
Sugarcane,Powdery Mildew,Yellowing of leaves with brown spots,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Superphosphate
Tomato,Rust,Drooping leaves with yellow patches,Carbendazim,Mix with organic compost and apply near roots,Hot summer season,General NPK 20-20-20
Wheat,Mosaic Virus,Small brown or black circular spots,Propiconazole,Spray in low sunlight conditions for best absorption,Heavy rainfall,10-10-10 NPK
